quarter,classID,className
Fall 2018,INFO300,Research Methods
Fall 2018,INFO310,Client-Side Development
Fall 2018,INFO340,Information Assurance and Cybersecurity
Spring 2018,CSE373,Data Structures and Algorithms
Spring 2018,INFO330,UX and Information Architecture
Spring 2018,INFO461,Cooperative Software Design
Winter 2018,CSE143,Computer Programming II
Winter 2018,INFO380,Information Systems Analysis and Design
Winter 2018,INFO450,Information Ethics and Policy
Fall 2017,INFO340,Relational Database Management Systems
Fall 2017,INFO360,Design Thinking
Fall 2017,INFO362,Visual Information Design
Spring 2017,COM201,Introduction to Communications I
Spring 2017,HCDE318,Introduction to User-Centered Design
Spring 2017,HCDE496,Research in HCDE
Spring 2017,INFO200,Intellectual Foundations of Informatics
Winter 2017,CSE160,Data Programming
Winter 2017,INFO201,Technical Foundations of Informatics
Winter 2017,QSCI381,Introduction Probability and Statistics
Fall 2016,CSE154,Introduction to Web Programming
Fall 2016,GEOG205,Global Environment
Fall 2016,QMETH201,Introduction to Statistical Methods
Summer 2016,ATMS211,Climate Change
Summer 2016,MATH124,Calculus with Analytic Geometry I
Summer 2016,PHIL120,Introduction to Logic
Spring 2016,ENGL197,Interdisciplinary Writing/Humanities
Spring 2016,ENVIR100,Introduction to Environmental Studies
Spring 2016,PSYCH101,Introduction to Psychology
Winter 2016,BIOL118,Survey of Physiology
Winter 2016,KOREAN102,1st-Year Korean
Winter 2016,MUSIC162,American Pop Song
Fall 2015,KOREAN101,1st-Year Korean
Fall 2015,MATH120,Precalculus
Fall 2015,MUSIC120,Survey of Music
Spring 2015,SOC201,Special Topics in Sociology
Spring 2015,SOC270,Social Problems
Spring 2015,STAT221,Statistical Concepts And Methods For The Social Sciences 
Winter 2015,ATMS101,Weather
Winter 2015,CSE142,Computer Programming I
Winter 2015,CSE190,Current Topics CSE
Winter 2015,ESS100,Dinosaurs
Winter 2015,OCEAN102,The Changing Oceans
Fall 2014,DRAMA101,Introduction to Theatre
Fall 2014,ENGL131,Composition: Exposition
Fall 2014,LIT228,Lit/Film H20 Crisis
